Organization Name,IPO Status,Company Type,Number of Employees,Last Funding Type,Last Funding Date,Founded Date,Founded Date Precision,Operating Status,Number of Founders,Number of Funding Rounds,Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Industries,Headquarters Location
Aveine,Private,For Profit,11-50,Seed,2019-02-04,2016-07-21,day,Active,1.0,1.0,1500.0,1500.0,1500.0,1500.0,Newfund,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Apps, Consumer Electronics, Data and Analytics, Food and Beverage, Internet Services, Mobile, Platforms, Real Estate, Software","Android, Apps, Food and Beverage, Image Recognition, Internet of Things, iOS, Smart Home, Wine And Spirits","Paris, Ile-de-France, France"
Small Spark Concepts,Private,For Profit,1-10,Pre-Seed,2016-04-13,2015-01-01,year,Active,1.0,1.0,1500.0,1500.0,1500.0,1500.0,Auto Nebula Capital Advisers Private Limited,1.0,"Great Lakes, Northeastern US",Information Technology,Information Technology,"India, Pennsylvania, United States"
205 Media LTD,Private,For Profit,1-10,Seed,2013-03-04,2009-03-10,day,Active,1.0,1.0,1511.0,1511.0,1511.0,1511.0,Chris Mackie,1.0,"Europe, Middle East, and Africa (EMEA)","Design, Internet Services, Media and Entertainment, Sales and Marketing","Brand Marketing, Search Engine, SEO, Social Media, Web Design","London, England, United Kingdom"
Mall95store,Private,For Profit,51-100,Pre-Seed,2023-06-17,2023-04-20,day,Active,1.0,2.0,488.0,488.0,1533.0,1533.0,"Mall95store, Dipesh Patel",2.0,Asia-Pacific (APAC),"Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","E-Commerce, E-Commerce Platforms, Photography, Social Media Marketing","Nawada, Bihar, India"
Blocery,Private,For Profit,11-50,Seed,2021-03-01,2018-01-01,year,Active,1.0,1.0,1542.0,1542.0,1542.0,1542.0,GBIC,1.0,"Asia-Pacific (APAC), Australasia","Food and Beverage, Transportation","Food Processing, Supply Chain Management","Sydney, New South Wales, Australia"
Giftah,Private,For Profit,1-10,Seed,2009-01-21,2008-12-01,day,Active,3.0,1.0,1581.0,1581.0,1581.0,1581.0,"Rezart Bajraktari, Nick Belyaev, Henry Finn",3.0,Great Lakes,"Commerce and Shopping, Financial Services","Auctions, E-Commerce, Gift Card, Shopping","Etobicoke, Ontario, Canada"
Provider,Private,For Profit,1-10,Pre-Seed,2022-05-31,2022-02-14,day,Active,2.0,1.0,1611.0,1611.0,1611.0,1611.0,Aim Capital (Earlier Aentor Finances),1.0,Asia-Pacific (APAC),Travel and Tourism,Hospitality,"Varanasi, Uttar Pradesh, India"
ATESH LABS - Lighting Lanterns Media Works,Private,For Profit,1-10,Pre-Seed,2021-06-04,2020-06-23,day,Active,1.0,1.0,1646.0,1646.0,1646.0,1646.0,N PILLAI Gangadharan,1.0,Asia-Pacific (APAC),"Commerce and Shopping, Education, Software","E-Commerce, EdTech, Education, Skill Assessment, Software","Kanniyakumari, Tamil Nadu, India"
AQRL,Private,For Profit,1-10,Pre-Seed,2021-11-03,2021-01-01,year,Active,2.0,2.0,0.0,0.0,1660.0,1660.0,StreakCap Ventures,1.0,Asia-Pacific (APAC),"Hardware, Science and Engineering, Sustainability","Environmental Engineering, Quantum Computing, Semiconductor","Noida, Uttar Pradesh, India"
PURE FOCUS,Private,For Profit,11-50,Seed,2014-01-26,2009-01-01,year,Active,1.0,1.0,1700.0,1700.0,1700.0,1700.0,Us Patent Commission,1.0,"Greater Los Angeles Area, West Coast, Western US","Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software","Analytics, Content Marketing, Marketing Automation, SaaS, Search Engine, SEO, Social Media, Software","Santa Monica, California, United States"
Mirzuno,Private,For Profit,1-10,Pre-Seed,2022-06-10,2022-06-10,day,Active,3.0,1.0,1711.0,1711.0,1711.0,1711.0,"Achmad Fauzi, Mrs. Founder of Mirzuno, Eko Mulyono",3.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Consumer Goods, Design, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Cloud Computing, Cloud Infrastructure, Cloud Storage, Email, Furniture, Web Design, Web Development, Web Hosting","Jatiasih, Jawa Barat, Indonesia"
Karnodhar,Private,For Profit,501-1000,Series A,2023-04-27,2023-04-19,day,Active,1.0,1.0,1733.0,1733.0,1733.0,1733.0,Tamal Hadiul,1.0,Asia-Pacific (APAC),"Content and Publishing, Media and Entertainment","Digital Media, News, Publishing","Dhaka, Dhaka, Bangladesh"
Attired Z,Private,For Profit,11-50,Seed,2023-01-19,2022-10-25,day,Active,2.0,1.0,1906.0,1906.0,1906.0,1906.0,Lakshay Aggarwal,1.0,Asia-Pacific (APAC),"Clothing and Apparel, Design, Other","Fashion, Generation Z","Agartala, Tripura, India"
iMultiple,Private,For Profit,1-10,Pre-Seed,2020-12-10,2009-09-20,day,Active,1.0,1.0,1971.0,1971.0,1971.0,1971.0,Ifeoluwa Wealth,1.0,"Europe, Middle East, and Africa (EMEA)","Advertising, Financial Services, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Digital Media, Financial Services, Information Services, Information Technology, Marketing, Social Media","Lagos, Lagos, Nigeria"
Omnigrow Media,Private,For Profit,1-10,Angel,2022-03-31,2022-02-22,day,Active,3.0,1.0,1976.0,1976.0,1976.0,1976.0,"Pranjal Agarwal, Rishabh Jain",2.0,Asia-Pacific (APAC),"Apps, Commerce and Shopping, Information Technology, Internet Services, Professional Services, Sales and Marketing, Software","Apps, Consulting, CRM, E-Commerce, E-Commerce Platforms, Internet, Web Development","Jaipur, Rajasthan, India"
Smartcoin,Private,For Profit,1-10,Debt Financing,2022-12-14,2015-11-23,day,Active,3.0,7.0,0.0,0.0,2000.0,2000.0,"BlackSoil, Northern Arc, JioGenNext, Lightrock, Vivriti Capital",11.0,Asia-Pacific (APAC),"Apps, Financial Services, Mobile, Software","Financial Services, Mobile Apps, Personal Finance","Bangalore, Karnataka, India"
Designer Brands,Private,For Profit,10001+,Angel,2022-06-01,1969-01-01,year,Active,1.0,1.0,2000.0,2000.0,2000.0,2000.0,Adil Jabbar,1.0,"Great Lakes, Midwestern US","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Manufacturing","Consumer Goods, Fashion, Manufacturing, Product Design, Retail, Shoes","Columbus, Ohio, United States"
poe,Private,For Profit,1-10,Pre-Seed,2017-03-02,2018-01-01,year,Active,1.0,1.0,2000.0,2000.0,2000.0,2000.0,Laguna Ventures LLC,1.0,"Greater Los Angeles Area, West Coast, Western US","Consumer Electronics, Hardware, Health Care","Personal Health, Wearables, Wellness","Los Angeles, California, United States"
Wabi,Private,For Profit,101-250,Series A,2019-01-01,2019-01-01,day,Active,4.0,2.0,1000.0,1000.0,2000.0,2000.0,The Coca-Cola Company,1.0,Latin America,"Commerce and Shopping, Food and Beverage","E-Commerce, Food and Beverage, Grocery","Buenos Aires, Distrito Federal, Argentina"
Serch,Private,For Profit,1-10,Pre-Seed,2024-04-04,2023-01-01,day,Active,1.0,1.0,2000.0,2000.0,2000.0,2000.0,"Hesham Zreik, Bashar Hamood, FasterCapital",3.0,"Europe, Middle East, and Africa (EMEA)","Other, Real Estate","Building Maintenance, Home Decor, Home Improvement, Home Renovation, Home Services, Professional Services, Real Estate, Residential, Service Industry","Abuja, Federal Capital Territory, Nigeria"
ZNIKLEZ,Private,For Profit,1-10,Seed,2019-11-20,2019-01-01,year,Active,1.0,1.0,2000.0,2000.0,2000.0,2000.0,FasterCapital,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Internet Services, Software","E-Commerce Platforms, Software","Berlin, Berlin, Germany"
DMR Analytics,Private,For Profit,1-10,Pre-Seed,2018-10-28,2018-10-01,day,Active,1.0,1.0,2000.0,2000.0,2000.0,2000.0,Rami El-Ashi,1.0,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Artificial Intelligence (AI), Data and Analytics, Software","Predictive Analytics, Software","Dammam, Ash Sharqiyah, Saudi Arabia"
Pejalan,Private,For Profit,1-10,Pre-Seed,2021-05-22,2019-01-01,year,Active,2.0,1.0,2100.0,2100.0,2100.0,2100.0,Wahyu Gunawan,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Community and Lifestyle, Data and Analytics, Travel and Tourism","Big Data, Communities, Travel","Jagakarsa, Jakarta Raya, Indonesia"
8Sftwcorp,Private,For Profit,1-10,Pre-Seed,2023-03-16,2023-03-16,day,Active,1.0,2.0,2123.0,2123.0,2123.0,2123.0,"Centro de Incubação de Évora, Edesoft",2.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Software,Software,"Évora, Evora, Portugal"
Flame Esports,Private,For Profit,11-50,Seed,2023-11-20,2020-05-12,day,Active,4.0,2.0,1200.0,1200.0,2200.0,2200.0,"Vasim Akram, Aman Mishra",2.0,Asia-Pacific (APAC),"Gaming, Sports","eSports, Online Games, Serious Games","Cuddapah, Andhra Pradesh, India"
Dr.Tail,Private,For Profit,1-10,Seed,2023-08-21,2020-05-01,day,Active,2.0,4.0,2237.0,2237.0,2237.0,2237.0,"Bluepoint Partners, TIPS Program, Korea Credit Guarantee Fund, Stassets Investment",4.0,"Greater Seattle Area, West Coast, Western US","Health Care, Professional Services","Consulting, Health Care, Veterinary","Seattle, Washington, United States"
Perfect Infinty,Private,For Profit,1-10,Pre-Seed,2022-12-29,2022-12-29,day,Active,1.0,1.0,2353.0,2353.0,2353.0,2353.0,Ulvi Mammadov,1.0,"Europe, Middle East, and Africa (EMEA)","Administrative Services, Information Technology, Other, Software","Information Technology, Project Management, SaaS, Software","London, England, United Kingdom"
Safe Zone Technologies,Private,For Profit,1-10,Equity Crowdfunding,2021-10-14,2016-01-01,day,Active,1.0,3.0,2382.0,2382.0,2382.0,2382.0,SeedFundersOrlando,1.0,"East Coast, Southern US","Information Technology, Internet Services, Software","Information Services, Information Technology, Internet of Things, Software","Orlando, Florida, United States"
Bolooka.com,Private,For Profit,1-10,Seed,2012-10-08,2011-01-01,year,Active,1.0,1.0,2414.0,2414.0,2414.0,2414.0,Hack2Hatch,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Commerce and Shopping, Internet Services","E-Commerce, Internet, Marketplace, Social Network","Quezon City, Quezon City, Philippines"
Rainbow Cloud Game,Private,For Profit,1-10,Angel,2023-03-22,2022-09-13,day,Active,1.0,1.0,2432.0,2432.0,2432.0,2432.0,Emanuel Maciel,1.0,Latin America,"Information Technology, Software","Information Technology, Software","Diadema, Sao Paulo, Brazil"
Enginehire,Private,For Profit,1-10,Seed,2017-09-13,2016-01-01,day,Active,1.0,1.0,2500.0,2500.0,2500.0,2500.0,"DMZ, University of Toronto - The Entrepreneurship Hatchery",2.0,Great Lakes,"Administrative Services, Professional Services, Software","Recruiting, Software, Staffing Agency","Toronto, Ontario, Canada"
Cura AI,Private,For Profit,1-10,Seed,2019-05-24,2019-01-01,year,Active,1.0,1.0,2500.0,2500.0,2500.0,2500.0,University of Washington,1.0,"Greater Seattle Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Software","Seattle, Washington, United States"
Idyoma,Private,For Profit,1-10,Grant,2016-02-15,2014-01-15,day,Active,2.0,2.0,10000.0,2500.0,2500.0,12500.0,IDEA: Northeastern University's Venture Accelerator,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Apps, Education, Software","Apps, Language Learning","Seville, Andalucia, Spain"
Downtyme,Private,For Profit,1-10,Convertible Note,2014-11-10,2014-01-01,year,Active,3.0,2.0,10000.0,2500.0,2500.0,12500.0,"Boston University, Rough Draft Ventures",2.0,"Greater Boston Area, East Coast, New England","Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Platforms, Software","Android, Apps, iOS, Private Social Networking, Social Media","Boston, Massachusetts, United States"
Synergy Coalition Esports,Private,For Profit,11-50,Pre-Seed,2021-07-20,2019-11-19,day,Active,1.0,2.0,1500.0,1500.0,2500.0,2500.0,Shamsher Singh,1.0,Asia-Pacific (APAC),Sports,"eSports, Sports","Rewari, Haryana, India"
Resolve.ng,Private,For Profit,1-10,Pre-Seed,2016-12-15,2016-11-26,day,Active,1.0,1.0,2500.0,2500.0,2500.0,2500.0,WestSea Global Services,1.0,"Europe, Middle East, and Africa (EMEA)","Mobile, Other, Professional Services, Software","Customer Service, Mobile, Software","Lagos, Lagos, Nigeria"
Jalousier,Private,For Profit,1-10,Undisclosed,2014-04-23,2013-01-01,year,Active,3.0,1.0,2500.0,2500.0,2500.0,2500.0,Sergey Vinogradov,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Transportation, Travel and Tourism","Automotive, Hospitality","Varna, Varna, Bulgaria"
Roam Telecoms,Private,For Profit,1-10,Series A,2019-02-05,2017-01-01,year,Active,1.0,2.0,0.0,0.0,2586.0,2586.0,NACUE,1.0,"Europe, Middle East, and Africa (EMEA)",Sustainability,"CleanTech, GreenTech","London, England, United Kingdom"
Klivolks,Private,For Profit,11-50,Pre-Seed,2022-01-01,2018-08-31,day,Active,1.0,1.0,2684.0,2684.0,2684.0,2684.0,Vishwanathan Umamaheshwaran,1.0,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Information Technology, Intelligent Systems, Internet of Things, Machine Learning, Product Research, Robotics, Software","Trivandrum, Kerala, India"
Configured Things,Private,For Profit,1-10,Grant,2023-05-25,2018-01-16,day,Active,3.0,5.0,18475.0,2760.0,2760.0,334182.0,"Innovate UK, Wayra, UK Research and Innovation, NCSC Cyber Accelerator, Simon Arnell",6.0,"Europe, Middle East, and Africa (EMEA)","Information Technology, Software","Information Technology, Software","Bristol, Bristol, City of, United Kingdom"
One0x,Private,For Profit,1-10,Pre-Seed,2019-09-12,2017-01-01,year,Active,1.0,1.0,2817.0,2817.0,2817.0,2817.0,Edupreneur Village Fund,1.0,"San Francisco Bay Area, Silicon Valley, West Coast",Internet Services,Internet,"Fremont, California, United States"
Ontimeshow,Private,For Profit,11-50,Angel,2019-10-05,2014-10-01,day,Active,2.0,1.0,2898.0,2898.0,2898.0,2898.0,Bailian Fashion Industry Fund,1.0,Asia-Pacific (APAC),"Clothing and Apparel, Commerce and Shopping, Design, Other","B2C, Fashion, Retail","Xuhui, Shanghai, China"
CelerSMS,Private,For Profit,1-10,Undisclosed,2020-08-01,2019-05-01,month,Active,1.0,2.0,1336.0,1336.0,2937.0,2937.0,Victor Celer,1.0,Latin America,"Apps, Data and Analytics, Hardware, Internet Services, Mobile, Navigation and Mapping, Software","Internet of Things, Location Based Services, Mobile Apps, Software, Telecommunications","Bogotá, Distrito Especial, Colombia"
HyperPowered,Private,For Profit,11-50,Angel,2023-11-05,2023-11-01,day,Active,10.0,1.0,3000.0,3000.0,3000.0,3000.0,Fabio Saturnino Santos,1.0,Southern US,"Gaming, Information Technology, Internet Services, Software","Cloud Computing, Information Technology, Software, Video Games","San Antonio, Texas, United States"
nugget,Private,For Profit,11-50,Non-equity Assistance,2019-10-03,2018-01-01,year,Active,1.0,3.0,0.0,3000.0,3000.0,3000.0,"NEXT Canada, L-SPARK, LaunchYU",3.0,Great Lakes,"Administrative Services, Education, Professional Services","Education, Recruiting, Staffing Agency","Toronto, Ontario, Canada"
Bookishmate,Private,For Profit,1-10,Seed,2023-09-07,2022-08-21,day,Active,1.0,1.0,3000.0,3000.0,3000.0,3000.0,FasterCapital,1.0,"Europe, Middle East, and Africa (EMEA)","Education, Software","EdTech, Education, Higher Education","Abuja, Federal Capital Territory, Nigeria"
HelpWriters,Private,For Profit,1-10,Angel,2023-11-18,2023-05-03,day,Active,2.0,1.0,3000.0,3000.0,3000.0,3000.0,Cheikh Brahim Sidi Mohamed Sidi Ali,1.0,"Middle East and North Africa (MENA), Europe, Middle East, and Africa (EMEA)","Advertising, Design, Internet Services, Professional Services, Sales and Marketing","Content Marketing, Lead Generation, Local Business, Marketing, Social Media Management, Social Media Marketing, Translation Service, Video Advertising, Web Design","Nouakchott, Trarza, Mauritania"
Gilmore Homes - Gilmore Loans,Private,For Profit,1-10,Seed,2018-08-25,2018-07-23,day,Active,1.0,2.0,3000.0,3000.0,3000.0,5500.0,Michael Gilmore,1.0,"Greater Atlanta Area, East Coast, Southern US","Consumer Electronics, Financial Services, Real Estate","Construction, FinTech, Home Services, Property Development, PropTech, Real Estate, Real Estate Investment, Rental Property, Residential, Smart Home","Atlanta, Georgia, United States"
Jonbelz Business Enterprise,Private,For Profit,1-10,Pre-Seed,2024-04-04,2023-06-02,day,Active,1.0,1.0,3000.0,3000.0,3000.0,3000.0,"Hesham Zreik, Bashar Hamood, FasterCapital",3.0,"Europe, Middle East, and Africa (EMEA)","Agriculture and Farming, Food and Beverage","Agriculture, Food and Beverage, Food Processing, Herbs and Spices, Organic Food","Sango Otta, Ogun, Nigeria"
Ohh! Foods,Private,For Profit,1-10,Seed,2023-03-01,2018-01-01,year,Active,1.0,3.0,0.0,0.0,3000.0,3000.0,"LOI Venture, LOI Labs, LaunchYU",3.0,Great Lakes,Food and Beverage,"Food Processing, Snack Food","Markham, Ontario, Canada"
DamnVR Technologies,Private,For Profit,1-10,Seed,2017-03-02,2017-02-01,day,Active,4.0,1.0,3000.0,3000.0,3000.0,3000.0,Mukesh K Goyal,1.0,Asia-Pacific (APAC),"Advertising, Apps, Design, Information Technology, Mobile, Sales and Marketing, Software","Advertising, Content Marketing, Digital Marketing, Graphic Design, Information Technology, Marketing, Mobile Apps, Software, Web Design, Web Development","Alwar, Rajasthan, India"
RedPine,Private,For Profit,1-10,Pre-Seed,2018-07-27,2016-01-01,day,Active,1.0,1.0,3000.0,3000.0,3000.0,3000.0,LaunchYU,1.0,Great Lakes,"Apps, Events, Media and Entertainment, Music and Audio, Software","Apps, Events, Music","Toronto, Ontario, Canada"
careersngr,Private,For Profit,1-10,Pre-Seed,2018-09-03,2018-01-01,year,Active,1.0,1.0,3000.0,3000.0,3000.0,3000.0,Africafinders,1.0,"Europe, Middle East, and Africa (EMEA)",Information Technology,Information Services,"Lagos, Lagos, Nigeria"
MiNP Records,Private,For Profit,51-100,Series A,2017-03-15,2016-12-22,day,Active,1.0,2.0,1000.0,1000.0,3000.0,3000.0,"Ajit Prasad Rijal, Nirmal Silwal",2.0,Asia-Pacific (APAC),"Media and Entertainment, Music and Audio","Media and Entertainment, Music, Music Label","Bhaktapur, Bagmati, Nepal"
Drives Me,Private,For Profit,51-100,Pre-Seed,2023-05-23,2015-07-01,month,Active,4.0,1.0,3016.0,3016.0,3016.0,3016.0,The Startup Capital,1.0,Asia-Pacific (APAC),Transportation,Automotive,"Bengaluru, Karnataka, India"
Tentsile,Private,For Profit,1-10,Equity Crowdfunding,2019-07-16,2002-01-01,year,Active,1.0,1.0,3078.0,3078.0,3078.0,3078.0,Crowdcube,1.0,"Europe, Middle East, and Africa (EMEA)",Commerce and Shopping,E-Commerce,"London, England, United Kingdom"
Coyno,Private,For Profit,1-10,Seed,2014-11-27,2014-09-19,day,Active,2.0,1.0,3116.0,3116.0,3116.0,3116.0,Axel Springer Plug and Play Accelerator,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Financial Services, Payments, Professional Services, Software","Accounting, Bitcoin, FinTech, Software","Berlin, Berlin, Germany"
Safely,Private,For Profit,1-10,Pre-Seed,2024-06-27,2023-01-01,year,Active,1.0,2.0,3211.0,3211.0,3211.0,3211.0,"Growing Capital, Furthr Foundry Accelerator",2.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Government and Military,Public Safety,"Dublin, Dublin, Ireland"
Kating Project Indonesia,Private,For Profit,1-10,Seed,2023-02-07,2019-06-29,day,Active,1.0,1.0,3299.0,3299.0,3299.0,3299.0,None Provided None Provided,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Design, Information Technology","Graphic Design, Information Technology, Product Design, Web Design","Cileungsi, Jawa Barat, Indonesia"
feelfood,Private,For Profit,1-10,Seed,2021-11-01,2020-01-01,year,Active,2.0,1.0,3480.0,3480.0,3480.0,3480.0,Startnext,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Food and Beverage,"Food and Beverage, Organic Food","Cologne, Nordrhein-Westfalen, Germany"
Thrie,Private,For Profit,1-10,Pre-Seed,2023-11-01,2023-11-01,month,Active,1.0,1.0,3500.0,3500.0,3500.0,3500.0,Family & Friends,1.0,"Europe, Middle East, and Africa (EMEA)","Apps, Mobile, Software, Transportation","Logistics, Mobile Apps, Public Transportation, Ride Sharing, Transportation","Lagos, Lagos, Nigeria"
AurelAurel,Private,For Profit,11-50,Pre-Seed,2020-08-04,2016-05-16,day,Active,3.0,1.0,3500.0,3500.0,3500.0,3500.0,Sobhee Hakeem,1.0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Internet Services, Media and Entertainment, Science and Engineering, Software","Media and Entertainment, Social Media, Software, Software Engineering","Cairo, Al Qahirah, Egypt"
Jinolo,Private,For Profit,1-10,Pre-Seed,2022-05-27,2021-07-14,day,Active,1.0,2.0,3581.0,3581.0,3581.0,42802.0,"INCUBATE, NSW Government, Genesis",3.0,"Asia-Pacific (APAC), Australasia","Manufacturing, Software","Manufacturing, Software","Sydney, New South Wales, Australia"
WARSTUFF,Private,For Profit,1-10,Seed,2011-03-01,2009-12-01,day,Active,1.0,1.0,3600.0,3600.0,3600.0,3600.0,WA-8,1.0,"Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Government and Military","Auctions, E-Commerce, National Security","London, England, United Kingdom"
MOTMO,Private,For Profit,1-10,Convertible Note,2022-09-15,2021-02-09,day,Active,3.0,2.0,199750.0,3635.0,3635.0,203385.0,"ENISA, Startupxplore, Bcombinator Venture Partners",3.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Education, Internet Services, Media and Entertainment, Music and Audio, Software","E-Learning, Music, Music Education, Music Streaming","Bilbao, Pais Vasco, Spain"
Jobote,Private,For Profit,1-10,Angel,2013-09-20,2013-08-02,day,Active,1.0,1.0,3652.0,3652.0,3652.0,3652.0,Jan Vsiansky,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Software,SaaS,"Holesovice, Stredocesky kraj, Czech Republic"
Rubfy,Private,For Profit,1-10,Angel,2021-09-24,2021-01-05,day,Active,2.0,2.0,937.0,937.0,3669.0,3669.0,Ronald Leandro,1.0,Latin America,"Information Technology, Internet Services, Software","Cloud Computing, Information Technology, Internet, Software, Web Hosting","São Paulo, Sao Paulo, Brazil"
SpotPlay,Private,For Profit,1-10,Pre-Seed,2017-01-25,2016-01-01,year,Active,2.0,1.0,3710.0,3710.0,3710.0,3710.0,Auto Nebula Capital Advisers Private Limited,1.0,Asia-Pacific (APAC),"Internet Services, Media and Entertainment, Transportation","Digital Entertainment, Internet, Public Transportation","Bangalore, Karnataka, India"
RiteKit,Private,For Profit,1-10,Seed,2012-02-01,2012-01-10,day,Active,3.0,1.0,3800.0,3800.0,3800.0,3800.0,"Saul Fleischman, Michal Hudecek",2.0,Asia-Pacific (APAC),"Data and Analytics, Design, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video","Broadcasting, Data Visualization, Marketing Automation, Search Engine, SEO, Social Media, Social Media Management, Social Media Marketing, Software","Osaka, Osaka, Japan"
